generacja,best_cost,avg_cost,worst_cost
772,1316,1409.216,2084
773,1316,1420.328,2047
774,1316,1402.096,2041
775,1316,1394.552,2071
776,1316,1400.808,1981
777,1316,1385.46,2041
778,1316,1411.1,2154
779,1316,1433.372,2090
780,1316,1393.56,2023
781,1316,1425.524,2011
782,1316,1409.672,2071
783,1316,1442.236,2084
784,1316,1410.56,2041
785,1316,1426.856,2084
786,1316,1388.932,2003
787,1316,1416.352,2038
788,1316,1411.524,2038
789,1316,1435.26,2038
790,1316,1415.132,2094
791,1316,1398.228,2099
792,1316,1398.52,2083
793,1316,1397.432,2064
794,1316,1403.848,2083
795,1316,1390.72,2046
796,1316,1398.164,2079
797,1316,1413.068,2081
798,1316,1428.752,2090
799,1316,1421.188,2104
800,1316,1408.48,2076
